What standard prefix is used for all finished assembly numbers at Franklin August Trading?,Every finished assembly number begins with the prefix 90-.
What does the 90- prefix signify in the BioTek packaging assembly system?,It identifies the item as a finished packaging assembly ready to ship.
How many digits follow the 90- prefix to identify a specific product?,The prefix is followed by a specific seven-digit identification number.
What was the total production volume for all top 20 BioTek sets in 2025?,"The total production volume reached 8,849 sets."
"Why is production at Franklin August Trading described as having ""peaks and valleys""?",Products are manufactured in batches based on demand rather than a steady monthly schedule.
Which product is ranked number one by production volume in the 2025 guide?,The H1 Main is the top-ranked product by volume.
What is the assembly number for the H1 Main?,The assembly number is 90-8043033.
How many sets of the H1 Main were produced annually in 2025?,"There were 1,059 sets of the H1 Main produced."
What are the approximate outer box dimensions for the H1 Main?,The outer box is approximately $37 \times 23 \times 20$ inches.
What is the typical batch size for an H1 Main production run?,The H1 Main is typically produced in batches of 40 to 50 sets.
Which product holds the number two spot for annual production volume?,The Epoch 2 is the second highest volume product.
What is the assembly number for the Epoch 2?,The assembly number is 90-1333003.
What was the total annual volume for the Epoch 2 in 2025?,The Epoch 2 had an annual volume of 822 sets.
What type of outer box construction is used for the Epoch 2?,It uses a single-wall high-performance outer box.
Which packaging set is ranked third in production volume?,The Take 3 Set is the third highest volume product.
What is the assembly number for the Take 3 Set?,The assembly number is 90-4693003.
What was the 2025 annual volume for the Take 3 Set?,The Take 3 Set had an annual volume of 793 sets.
How frequently is the Take 3 Set produced during the year?,It is produced in large batches only 2 to 4 times per year.
What is the typical batch size for a Take 3 Set production run?,Batch sizes for this set range from 150 to 250 units.
What are the dimensions of the Take 3 Set outer box?,The outer box is compact at approximately $14 \times 12 \times 6$ inches.
Which product is ranked fourth in volume for 2025?,The Washer Accessory is the fourth highest volume product.
What is the assembly number for the Washer Accessory?,The assembly number is 90-7103013.
How many sets of the Washer Accessory were produced in 2025?,There were 767 sets produced annually.
Which BioTek instrument is the Washer Accessory designed for?,It packages accessories for the ELx405 microplate washer.
What is the assembly number for the 405 Touch Screen?,The assembly number is 90-1173009.
What was the 2025 annual production volume for the 405 Touch Screen?,The annual production volume was 692 sets.
What type of outer box is used for the 405 Touch Screen?,It uses a large double-wall outer box.
"Collectively, how many sets do the top five products account for?","The top five products account for over 4,000 sets."
What is the assembly number for the 800 Touch Screen?,The assembly number is 90-1563000.
How many sets of the 800 Touch Screen were produced in 2025?,There were 608 sets produced annually.
What specific feature is the 800 Touch Screen packaging built around?,It is built around a precision foam system.
What is the assembly number for the 50 Touch Screen?,The assembly number is 90-1553004.
What was the 2025 annual volume for the 50 Touch Screen?,The annual volume was 520 sets.
What is the assembly number for the Touch Screen Valve?,The assembly number is 90-1173008.
How many sets of the Touch Screen Valve were produced in 2025?,There were 446 sets produced annually.
What are the approximate dimensions of the Touch Screen Valve box?,The box is approximately $17 \times 15 \times 12$ inches.
What is the assembly number for the Synergy packaging set?,The assembly number is 90-7093001.
What was the annual production volume for the Synergy set in 2025?,The annual production volume was 361 sets.
What instrument does the Synergy packaging set ship?,It ships the BioTek Synergy multimode microplate reader.
What are the outer box dimensions for the Synergy set?,The outer box is approximately $30 \times 24 \times 23$ inches.
What is the assembly number for the Cytation Main?,The assembly number is 90-1223018.
How many sets of the Cytation Main were produced in 2025?,There were 312 sets produced annually.
Which product is described as one of the most complex assemblies due to nested components?,The Cytation Main is described as one of the most complex builds.
What instrument is shipped using the Cytation Main assembly?,It ships the BioTek Cytation cell imaging reader.
What is the assembly number for the Cytation Accessory?,The assembly number is 90-1223020.
How many sets of the Cytation Accessory were produced in 2025?,There were 282 sets produced annually.
What is the assembly number for the Biostacker 3?,The assembly number is 90-1163003.
What was the annual volume for the Biostacker 3 in 2025?,The annual volume was 257 sets.
What instrument is the Biostacker 3 packaging designed for?,It ships the BioTek BioStack microplate stacker.
What are the outer box dimensions for the Biostacker 3?,The dimensions are approximately $32 \times 24 \times 25$ inches.
What is the assembly number for the Gas Controller?,The assembly number is 90-1213025.
What was the 2025 annual volume for the Gas Controller?,The annual volume was 249 sets.
What internal system is used within the Gas Controller outer box?,It utilizes a sleeve system inside the box.
What is the assembly number for the standard Epoch set?,The assembly number is 90-7203006.
How many sets of the standard Epoch were produced in 2025?,There were 239 sets produced annually.
What is the assembly number for the H1 Dispenser?,The assembly number is 90-8043032.
How many H1 Dispenser sets were produced in 2025?,There were 217 sets produced annually.
The H1 Dispenser assembly (90-8043032) is typically paired with which main unit?,It is paired with the H1 Main (90-8043033).
What is the assembly number for the 405 Q?,The assembly number is 90-1173032.
How many 405 Q sets were produced in 2025?,There were 175 sets produced annually.
What is the assembly number for the Immucor Accessory?,The assembly number is 90-8063020.
What was the annual volume for the Immucor Accessory in 2025?,The annual volume was 144 sets.
What design is used for the Immucor Accessory packaging?,It uses a sleeve-in-box design.
What is the assembly number for the Immucor main unit?,The assembly number is 90-8063024.
How many Immucor main unit sets were produced in 2025?,There were 142 sets produced annually.
What unique base component is included in the Immucor main assembly?,It includes a plywood base panel.
What is the assembly number for the MFXPW Main?,The assembly number is 90-1263002.
How many MFXPW Main sets were produced in 2025?,There were 133 sets produced annually.
What instrument is shipped in the MFXPW Main assembly?,It ships the BioTek MultiFlo FX multimode dispenser.
What is the assembly number for the Biostacker Accessory?,The assembly number is 90-7313001.
How many Biostacker Accessory sets were produced in 2025?,There were 131 sets produced annually.
Which item is described as the lowest-cost and simplest item in the top 20?,The Biostacker Accessory is the simplest and lowest-cost item.
The Biostacker Accessory (90-7313001) is associated with which main assembly?,It is associated with the Biostacker 3 (90-1163003).
What are the dimensions of the Biostacker Accessory box?,The dimensions are approximately $20 \times 15 \times 10$ inches.
How do the assembly numbers for the Epoch and Epoch 2 differ?,"The Epoch is 90-7203006, while the Epoch 2 is 90-1333003."